ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
SMI-0051,Competition from exotics,NA,Moderate,NA,NA
SMI0052A,Competition from exotics,NA,High,NA,NA
SMI-0053,Competition from exotics,NA,Low,NA,NA
SMI-0054,Competition from exotics,NA,Moderate,NA,NA
SMI-0055,Competition from exotics,NA,Low,NA,NA
SMI-0056,Competition from exotics,NA,Low,NA,NA
SMI0057A,Competition from exotics,NA,Low,NA,NA
SMI-0058,Competition from exotics,NA,High,NA,NA
SMI0059A,Competition from exotics,NA,Low,NA,NA
SMI0059A,Erosion/runoff,NA,High,NA,NA
SMI-0060,Competition from exotics,NA,Low,NA,NA
SMI-0061,Competition from exotics,NA,High,NA,NA
SMI-0063,Competition from exotics,NA,High,NA,NA
SMI0064A,Competition from exotics,NA,Moderate,NA,NA
SMI-0065,Competition from exotics,NA,Low,NA,NA
SMI0066A,Competition from exotics,NA,High,NA,NA
SMI-0068,Competition from exotics,NA,Low,NA,NA
SMI-0069,Competition from exotics,NA,Moderate,NA,NA
SMI0070A,Competition from exotics,NA,Low,NA,NA
SMI0070A,Erosion/runoff,NA,Low,NA,NA
SMI-0071,Competition from exotics,NA,Low,NA,NA
SMI-0072,Competition from exotics,NA,Moderate,NA,NA
SMI-0073,Competition from exotics,NA,Low,NA,NA
SMI-0074,Competition from exotics,NA,Moderate,NA,NA
SMI0075A,Competition from exotics,NA,Low,NA,NA
SMI-0076,Competition from exotics,NA,Low,NA,NA
SMI-0077,Competition from exotics,NA,Low,NA,NA
SMI-0079,Competition from exotics,NA,Low,NA,NA
SMI-0080,Erosion/runoff,NA,Moderate,NA,NA
SMI-0080,Competition from exotics,NA,Low,NA,NA
SMI-0081,Competition from exotics,NA,Moderate,NA,NA
SMI0082V,Competition from exotics,NA,Low,NA,NA
SMI-0083,Competition from exotics,NA,Low,NA,NA
SMI0084A,Competition from exotics,NA,Moderate,NA,NA
SMI-0085,Competition from exotics,NA,Low,NA,NA
SMI-0086,Competition from exotics,NA,Low,NA,NA
SMI-0086,Road/trail construction/maint.,NA,Low,NA,NA
SMI0087A,Competition from exotics,NA,Low,NA,NA
SMI0088A,Competition from exotics,NA,High,NA,NA
SMI-0090,Competition from exotics,NA,Moderate,NA,NA
SMI-0091,Competition from exotics,NA,Moderate,NA,NA
SMI-0091,Other,gull nesting/use,Moderate,NA,NA
SMI-0092,Competition from exotics,NA,Moderate,NA,NA
SMI-0093,Competition from exotics,NA,Low,NA,NA
SMI-0094,Competition from exotics,NA,High,NA,NA
SMI-0095,Competition from exotics,NA,Low,NA,NA
SMI-0096,Competition from exotics,NA,Low,NA,NA
SMI0097A,Competition from exotics,NA,Moderate,NA,NA
SMI-0098,Competition from exotics,NA,Low,NA,NA
SMI0099A,Competition from exotics,NA,Low,NA,NA
SMI-0100,Competition from exotics,NA,Moderate,NA,NA
SMI0101A,Competition from exotics,NA,Low,NA,NA
SMI-0102,Competition from exotics,NA,High,NA,NA
SMI0103A,Competition from exotics,NA,High,NA,NA
SMI-0104,Competition from exotics,NA,Low,NA,NA
SMI-0105,Competition from exotics,NA,Low,NA,NA
SMI-0106,Competition from exotics,NA,Low,NA,NA
SMI-0107,Competition from exotics,NA,High,NA,NA
SMI-0108,Competition from exotics,NA,Low,NA,NA
SMI-0109,Competition from exotics,NA,Moderate,NA,NA
SMI-0110,Competition from exotics,NA,Moderate,NA,NA
SMI-0111,Competition from exotics,NA,Low,NA,NA
SMI-0112,Competition from exotics,NA,High,NA,NA
SMI-0113,Competition from exotics,NA,Low,NA,NA
SMI-0114,Road/trail construction/maint.,NA,Low,NA,NA
SMI-0114,Competition from exotics,NA,High,NA,NA
SMI-0115,Competition from exotics,NA,Low,NA,NA
SMI-0116,Competition from exotics,NA,Moderate,NA,NA
SMI-0118,Competition from exotics,NA,Low,NA,NA
SMI0119A,Competition from exotics,NA,Low,NA,NA
SMI-0120,Competition from exotics,NA,Low,NA,NA
SMI-0121,Competition from exotics,NA,Moderate,NA,NA
SMI-0122,Competition from exotics,NA,High,NA,NA
SMI-0123,Competition from exotics,NA,Low,NA,NA
SMI-0124,Competition from exotics,NA,Low,NA,NA
SMI-0125,Competition from exotics,NA,Moderate,NA,NA
SMI-3000,Competition from exotics,NA,Moderate,NA,NA
SMI-3001,Competition from exotics,NA,High,NA,NA
SMI-3002,Competition from exotics,NA,Low,NA,NA
SMI-3003,Competition from exotics,NA,Low,NA,NA
SMI-3004,Competition from exotics,NA,Low,NA,NA
SMI-3005,Competition from exotics,NA,Low,NA,NA
SMI-3028,Competition from exotics,NA,Low,NA,NA
SMI-3040,Competition from exotics,NA,Low,NA,NA
SMI-3041,Competition from exotics,NA,Moderate,NA,NA
SMI-3042,Competition from exotics,NA,Moderate,NA,NA
SMI-3052,Competition from exotics,NA,Low,NA,NA
SMI-3053,Competition from exotics,NA,Moderate,NA,NA
SMI-3062,Competition from exotics,NA,Low,NA,NA
SMI3064A,Competition from exotics,NA,Low,NA,NA
SMI-3066,Competition from exotics,NA,Low,NA,NA
SMI-3066,Foot traffic/trampling,NA,Low,NA,NA
SMI-3066,Recreational use (non ORV),NA,Low,NA,NA
SMI3069A,Competition from exotics,NA,Low,NA,NA
SMI-3070,Competition from exotics,NA,High,NA,NA
SMI-3089,Competition from exotics,NA,Low,NA,NA
SMI-3112,Competition from exotics,NA,Low,NA,NA
SMI-3113,Competition from exotics,NA,Low,NA,NA
SMI-3113,Road/trail construction/maint.,NA,Low,NA,NA
SMI-3114,Competition from exotics,NA,Low,NA,NA
SMI-3115,Competition from exotics,NA,Low,NA,NA
SMI3121A,Competition from exotics,NA,Moderate,NA,NA
SMI-3124,Competition from exotics,NA,Low,NA,NA
SMI-3140,Competition from exotics,NA,Low,NA,NA
SMI-3141,Competition from exotics,NA,Low,NA,NA
SMI3143A,Competition from exotics,NA,High,NA,NA
SMI-3144,Competition from exotics,NA,Low,NA,NA
SMI3145A,Competition from exotics,NA,Low,NA,NA
SMI-3146,Competition from exotics,NA,Moderate,NA,NA
SMI-3147,Competition from exotics,NA,Low,NA,NA
SMI-3150,Competition from exotics,NA,High,NA,NA
SMI-3150,Foot traffic/trampling,NA,Low,NA,NA
SMI-3154,Competition from exotics,NA,Low,NA,NA
SMI-3155,Competition from exotics,NA,Moderate,NA,NA
SMI-3156,Competition from exotics,NA,Low,NA,NA
SMI-3156,Road/trail construction/maint.,NA,Low,NA,NA
SMI-3157,Competition from exotics,NA,Low,NA,NA
SMI-3159,Competition from exotics,NA,Low,NA,NA
SMI-3160,Competition from exotics,NA,High,NA,NA
SMI-3161,Competition from exotics,NA,Moderate,NA,NA
SMI-3167,Competition from exotics,NA,Moderate,NA,NA
SMI-3168,Competition from exotics,NA,Moderate,NA,NA
SMI-3171,Competition from exotics,NA,Low,NA,NA
SMI-3173,Competition from exotics,NA,Low,NA,NA
SMI-3175,Competition from exotics,NA,Low,NA,NA
SMI-3176,Competition from exotics,NA,Low,NA,NA
SMI-3177,Competition from exotics,NA,Low,NA,NA
SMI-3178,Competition from exotics,NA,Low,NA,NA
SMI-3180,Competition from exotics,NA,Low,NA,NA
SMI-3187,Competition from exotics,NA,High,NA,NA
SMI3188A,Competition from exotics,NA,Moderate,NA,NA
SMI-3189,Competition from exotics,NA,Low,NA,NA
SMI-3189,Foot traffic/trampling,NA,Low,NA,NA
SMI-3190,Competition from exotics,NA,Moderate,NA,NA
SMI-3191,Competition from exotics,NA,Moderate,NA,NA
SMI-3192,Competition from exotics,NA,Low,NA,NA
SMI-3198,Competition from exotics,NA,Moderate,NA,NA
SMI-3215,Competition from exotics,NA,Low,NA,NA
SMI-3216,Competition from exotics,NA,Low,NA,NA
SMI-3220,Competition from exotics,NA,Low,NA,NA
SMI-3222,Competition from exotics,NA,Low,NA,NA
SMI-3223,Competition from exotics,NA,Low,NA,NA
SMI-3224,Competition from exotics,NA,Low,NA,NA
SMI-3225,Road/trail construction/maint.,NA,Low,NA,NA
SMI-3225,Competition from exotics,NA,Moderate,NA,NA
SMI-3226,Competition from exotics,NA,Low,NA,NA
