"SurveyID","CodeImpact","Intensity","Other"
"ANZA120",5,0,
"ANZA125",15,1,
"ANZA126",15,1,
"ANZA127",5,1,
"ANZA129",2,1,
"ANZA130",29,1,
"ANZA130",20,1,
"ANZA130",19,1,
"ANZA130",5,2,
"ANZA130",15,2,
"ANZA131",5,1,
"ANZA132",19,1,
"ANZA132",15,1,
"ANZA132",5,2,
"ANZA133",5,3,
"ANZA134",5,0,
"ANZA135",5,2,
"ANZA136",5,2,
"ANZA137",29,1,
"ANZA138",5,2,
"ANZA139",4,1,
"ANZA139",5,2,
"ANZA140",5,2,
"ANZA142",5,2,
"ANZA143",5,3,
"ANZA145",5,1,
"ANZA146",5,2,
"ANZA147",5,1,
"ANZA148",5,2,
"ANZA149",5,0,
"ANZA149",29,1,
"ANZA149",20,1,
"ANZA150",5,3,
"ANZA150",15,1,
"ANZA152",5,2,
"ANZA153",5,2,
"ANZA154",20,3,
"ANZA154",5,2,
"ANZA154",8,0,
"ANZA154",17,2,
"ANZA154",29,2,
"ANZA154",15,2,
"ANZA155",20,3,
"ANZA155",5,2,
"ANZA156",5,2,
"ANZA156",15,2,
"ANZA157",5,2,
"ANZA158",15,1,
"ANZA158",5,3,
"ANZA159",15,1,
"ANZA159",19,1,
"ANZA159",5,3,
"ANZA160",5,2,
"ANZA160",4,2,
"ANZA160",19,2,
"ANZA160",20,2,
"ANZA161",5,2,
"ANZA162",5,2,
"ANZA162",4,2,
"ANZA163",19,1,
"ANZA163",15,2,
"ANZA163",5,2,
"ANZA164",5,2,
"ANZA165",5,2,
"ANZA166",5,0,
"ANZA167",5,2,
"ANZA167",19,1,
"ANZA168",1,1,
"ANZA168",5,2,
"ANZA169",4,2,
"ANZA169",5,2,
"ANZA169",15,2,
"ANZA170",5,2,
"ANZA171",5,1,
"ANZA172",5,2,
"ANZA173",5,2,
"ANZA174",5,3,
"ANZA175",4,1,
"ANZA175",20,1,
"ANZA176",5,1,
"ANZA177",5,1,
"ANZA179",5,2,""
"ANZA180",5,2,""
"ANZA181",5,2,""
"ANZA183",5,3,""
"ANZA184",5,1,""
"ANZA186",5,1,""
"ANZA187",5,1,""
"ANZA188",5,1,""
"ANZA189",5,0,""
"ANZA190",5,2,""
"ANZA190",15,1,""
"ANZA191",5,2,""
"ANZA192",5,2,""
"ANZA193",5,2,""
"ANZA194",5,2,""
"ANZA195",5,2,""
"ANZA196",5,1,""
"ANZA197",5,3,""
"ANZA198",5,1,""
"ANZA198",4,1,""
"ANZA199",5,1,""
"ANZA199",15,1,""
"ANZA200",5,1,""
"ANZA200",15,0,""
"ANZA201",19,1,""
"ANZA201",20,1,""
"ANZA202",15,2,""
"ANZA203",2,1,""
"ANZA203",5,1,""
"ANZA203",19,1,""
"ANZA204",19,1,""
"ANZA204",5,2,""
"ANZA205",29,1,""
"ANZA206",5,1,""
"ANZA207",19,0,""
"ANZA208",5,1,""
"ANZA209",5,1,""
"ANZA210",5,0,""
"ANZA212",5,1,""
"ANZA212",19,1,""
"ANZA212",15,2,""
"ANZA213",5,2,""
"ANZA214",20,1,""
"ANZA214",5,1,""
"ANZA215",15,1,""
"ANZA215",4,1,""
"ANZA215",5,1,""
"ANZA216",19,1,""
"ANZA216",5,1,""
"ANZA217",5,0,""
"ANZA218",19,1,""
"ANZA218",5,3,""
"ANZA219",15,0,""
"ANZA219",5,0,""
"ANZA220",5,0,""
"ANZA223",29,1,""
"ANZA223",5,1,""
"ANZA223",20,1,""
"ANZA224",15,1,""
"ANZA224",5,2,""
"ANZA226",2,1,""
"ANZA227",29,1,""
"ANZA227",15,1,""
"ANZA227",5,2,""
"ANZA229",5,1,""
"ANZA230",5,1,""
"ANZA231",5,1,""
"ANZA232",5,1,""
"ANZA233",5,1,""
"ANZA235",5,1,""
"ANZA237",5,1,""
"ANZA238",2,1,""
"ANZA239",5,1,""
"ANZA240",19,1,""
"ANZA240",5,2,""
"ANZA241",5,2,""
"ANZA242",20,1,""
"ANZA242",5,1,""
"ANZA243",5,1,""
"ANZA244",4,1,""
"ANZA244",5,1,""
"ANZA246",5,1,""
"ANZA249",5,2,""
"ANZA250",5,3,""
"ANZA251",15,2,""
"ANZA252",2,2,""
"ANZA252",5,1,""
"ANZA253",5,1,""
"ANZA255",5,1,""
"ANZA256",20,1,""
"ANZA260",5,1,""
"ANZA261",5,1,""
"ANZA264",5,1,""
"ANZA265",5,1,""
"ANZA268",19,1,""
"ANZA268",5,1,""
"ANZA270",5,1,""
"ANZA271",19,1,""
"ANZA271",5,1,""
"ANZA273",5,1,""
"ANZA274",5,1,""
"ANZA275",5,1,""
"ANZA277",5,1,""
"ANZA285",5,1,""
"ANZA286",5,1,""
"ANZA290",19,1,""
"ANZA290",5,1,""
"ANZA292",5,1,""
"ANZA293",5,1,""
"ANZA296",5,1,""
"ANZA297",5,1,""
"ANZA299",5,1,""
"ANZA299",20,1,""
"ANZA300",5,1,""
"ANZA301",21,2,""
"ANZA301",20,3,""
"ANZA302",29,1,""
"ANZA302",13,1,"Fire"
"ANZA302",5,1,""
"ANZA303",29,1,""
"ANZA303",15,1,""
"ANZA304",20,2,""
"ANZA305",21,2,""
"ANZA305",20,2,""
"ANZA306",5,1,""
"ANZA306",4,1,""
"ANZA308",5,3,""
"ANZA309",5,1,""
"ANZA310",5,2,""
"ANZA311",2,1,""
"ANZA311",5,1,""
"ANZA311",19,1,""
"ANZA312",5,1,""
"ANZA313",5,1,""
"ANZA314",5,1,""
"ANZA315",5,1,""
"ANZA316",5,1,""
"ANZA317",15,1,""
"ANZA317",5,1,""
"ANZA319",2,2,""
"ANZA320",5,1,""
"ANZA321",15,2,""
"ANZA322",2,2,""
"ANZA322",5,2,""
"ANZA323",20,2,""
"ANZA323",5,2,""
"ANZA323",2,2,""
"ANZA324",15,2,""
"ANZA325",19,2,""
"ANZA325",5,1,""
"ANZA326",5,1,""
"ANZA326",15,1,""
"ANZA327",15,1,""
"ANZA327",19,1,""
"ANZA328",5,2,""
"ANZA329",5,1,""
"ANZA330",5,1,""
"ANZA333",19,0,"skyrocket"
"ANZA336",15,1,""
"ANZA337",5,1,""
"ANZA338",5,1,""
"ANZA340",29,1,""
"ANZA341",5,1,""
"ANZA344",5,1,""
"ANZA345",5,1,""
"ANZA346",5,1,""
"ANZA349",19,1,""
"ANZA351",5,1,""
"ANZA352",5,1,""
"ANZA353",5,1,""
"ANZA353",15,1,""
"ANZA354",19,1,""
"ANZA354",5,1,""
"ANZA357",29,1,""
"ANZA357",20,1,""
"ANZA358",19,1,""
"ANZA358",2,2,""
"ANZA359",5,1,""
"ANZA360",5,1,""
"ANZA360",19,1,""
"ANZA363",5,3,""
"ANZA365",5,2,""
"ANZA366",5,1,""
"ANZA367",19,1,""
"ANZA367",5,1,""
"ANZA368",15,1,""
"ANZA368",5,1,""
"ANZA369",29,2,""
"ANZA369",20,1,""
"ANZA370",15,3,""
"ANZA370",20,2,""
"ANZA370",2,2,""
"ANZA370",29,3,""
"ANZA371",29,1,""
"ANZA371",20,1,""
"ANZA371",5,1,""
"ANZA372",19,1,""
"ANZA372",15,1,""
"ANZA373",5,0,""
"ANZA375",15,1,""
"ANZA377",19,1,""
"ANZA377",15,1,""
"ANZA378",29,1,""
"ANZA379",15,2,""
"ANZA380",5,1,""
"ANZA382",29,2,""
"ANZA382",5,2,""
"ANZA382",4,1,""
"ANZA383",5,2,""
"ANZA383",29,1,""
"ANZA384",5,3,""
"ANZA385",15,1,""
"ANZA385",5,1,""
"ANZA386",15,1,""
"ANZA387",5,1,""
"ANZA388",15,1,""
"ANZA389",15,1,""
"ANZA390",5,1,""
"ANZA390",15,1,""
"ANZA393",15,1,""
"ANZA394",5,1,""
"ANZA394",15,1,""
"ANZA395",15,1,""
"ANZA396",15,1,""
"ANZA396",29,1,""
"ANZA397",15,1,""
"ANZA397",5,1,""
"ANZA398",19,1,""
"ANZA399",15,1,""
"ANZA399",5,1,""
"ANZA400",5,0,""
"ANZA401",19,1,""
"ANZA401",5,2,""
"ANZA402",5,2,""
"ANZA403",5,2,""
"ANZA404",5,1,""
"ANZA405",5,1,""
"ANZA406",5,0,""
"ANZA407",15,1,""
"ANZA408",5,1,""
"ANZA409",5,0,""
"ANZA410",2,1,""
"ANZA410",5,2,""
"ANZA413",5,1,""
"ANZA413",19,1,""
"ANZA415",15,1,""
"ANZA416",5,0,""
"ANZA417",15,1,""
"ANZA417",19,2,""
"ANZA418",15,2,""
"ANZA418",19,2,""
"ANZA419",5,1,""
"ANZA419",15,1,""
"ANZA420",5,1,""
"ANZA421",5,2,""
"ANZA421",15,1,""
"ANZA422",5,2,""
"ANZA423",29,1,""
"ANZA423",5,2,""
"ANZA424",5,1,""
"ANZA425",15,1,""
"ANZA425",5,1,""
"ANZA427",4,2,""
"ANZA427",5,3,""
"ANZA428",4,3,""
"ANZA428",15,2,""
"ANZA428",5,3,""
"ANZA429",29,1,""
"ANZA429",20,1,""
"ANZA429",5,1,""
"ANZA430",5,1,""
"ANZA431",15,0,""
"ANZA432",5,1,""
"ANZA432",15,1,""
"ANZA433",5,1,""
"ANZA433",19,1,""
"ANZA434",29,2,""
"ANZA434",19,2,""
"ANZA434",5,1,""
"ANZA436",29,1,""
"ANZA436",19,1,""
"ANZA436",5,2,""
"ANZA437",5,2,""
"ANZA437",4,1,""
"ANZA437",2,1,""
"ANZA438",5,1,""
"ANZA438",19,1,""
"ANZA439",5,3,""
"ANZA440",5,1,""
"ANZA441",5,2,""
"ANZA441",15,1,""
"ANZA442",29,1,""
"ANZA442",19,1,""
"ANZA442",5,1,""
"ANZA443",5,1,""
"ANZA445",19,1,""
"ANZA445",15,1,""
"ANZA445",5,3,""
"ANZA446",5,3,""
"ANZA449",5,1,""
"ANZA450",15,1,""
"ANZA451",5,2,""
"ANZA452",19,1,""
"ANZA453",5,1,""
"ANZA455",15,1,""
"ANZA457",15,1,""
"ANZA458",5,1,""
"ANZA458",15,1,""
"ANZA459",5,2,""
"ANZA460",19,1,""
"ANZA461",2,2,""
"ANZA462",5,2,""
"ANZA463",19,1,""
"ANZA463",5,2,""
"ANZA465",5,1,""
"ANZA466",5,2,""
"ANZA467",15,1,""
"ANZA467",5,2,""
"ANZA467",2,1,""
"ANZA468",5,1,""
"ANZA469",5,1,""
"ANZA470",5,0,""
"ANZA471",5,2,""
"ANZA473",5,2,""
"ANZA473",19,1,""
"ANZA474",5,3,""
"ANZA474",4,2,""
"ANZA475",5,1,""
"ANZA476",5,2,""
"ANZA476",19,1,""
"ANZA477",5,1,""
"ANZA478",5,2,""
"ANZA479",5,1,""
"ANZA480",15,2,""
"ANZA480",5,0,""
"ANZA481",5,2,""
"ANZA482",5,2,""
"ANZA483",5,1,""
"ANZA484",5,2,""
"ANZA485",5,2,""
"ANZA486",5,2,""
"ANZA487",5,2,""
"ANZA488",5,2,""
"ANZA489",5,1,""
"ANZA490",5,2,""
"ANZA491",5,1,""
"ANZA492",5,2,""
"ANZA493",5,0,""
"ANZA494",5,2,""
"ANZA495",5,0,""
"ANZA495",29,0,""
"ANZA495",20,0,""
"ANZA496",5,1,""
"ANZA497",5,2,""
"ANZA498",15,1,""
"ANZA954",19,1,
