"SurveyID","CodeImpact","Intensity","Other"
"ANZA001",5,0,
"ANZA002",5,2,
"ANZA004",5,1,
"ANZA004",19,1,
"ANZA005",19,0,
"ANZA005",5,0,
"ANZA006",5,2,
"ANZA007",5,2,
"ANZA007",19,1,
"ANZA008",5,2,
"ANZA009",5,2,
"ANZA010",5,1,
"ANZA011",5,2,
"ANZA012",5,0,
"ANZA014",4,1,
"ANZA014",18,1,
"ANZA014",15,1,
"ANZA014",5,1,
"ANZA015",29,1,
"ANZA015",5,1,
"ANZA016",5,2,
"ANZA016",15,2,
"ANZA017",19,1,
"ANZA017",5,2,
"ANZA018",5,2,
"ANZA019",5,1,
"ANZA020",5,2,
"ANZA021",5,3,
"ANZA022",19,1,
"ANZA022",5,2,
"ANZA023",5,2,
"ANZA024",5,1,
"ANZA024",20,1,
"ANZA025",5,2,
"ANZA025",19,2,
"ANZA026",5,2,
"ANZA027",20,2,
"ANZA028",5,2,
"ANZA029",5,3,
"ANZA030",4,1,
"ANZA030",5,2,
"ANZA031",5,1,
"ANZA032",5,1,
"ANZA033",5,3,
"ANZA034",5,2,
"ANZA035",5,2,
"ANZA036",5,2,
"ANZA037",5,2,
"ANZA038",5,0,
"ANZA039",4,1,
"ANZA040",5,1,
"ANZA041",23,1,
"ANZA043",15,3,
"ANZA044",13,1,
"ANZA045",13,1,
"ANZA047",15,1,
"ANZA048",19,2,
"ANZA049",5,1,
"ANZA050",5,1,
"ANZA052",5,1,
"ANZA053",5,1,
"ANZA053",13,1,
"ANZA055",5,2,
"ANZA056",5,2,
"ANZA057",5,2,
"ANZA059",5,0,
"ANZA060",5,2,
"ANZA061",5,2,
"ANZA062",5,2,
"ANZA063",19,2,
"ANZA063",5,2,
"ANZA064",19,1,
"ANZA065",5,1,
"ANZA065",19,1,
"ANZA066",5,1,
"ANZA068",19,1,
"ANZA070",5,2,
"ANZA071",5,1,
"ANZA072",5,1,
"ANZA073",5,1,
"ANZA074",5,1,
"ANZA077",5,2,
"ANZA078",5,1,
"ANZA079",5,1,
"ANZA080",5,1,
"ANZA081",5,1,
"ANZA083",5,1,
"ANZA085",5,1,
"ANZA086",5,2,
"ANZA086",15,1,
"ANZA086",2,1,
"ANZA087",5,1,
"ANZA088",5,3,
"ANZA089",5,1,
"ANZA090",5,1,
"ANZA091",19,1,
"ANZA092",5,3,
"ANZA093",15,0,
"ANZA093",5,3,
"ANZA094",5,2,
"ANZA095",5,2,
"ANZA096",5,2,
"ANZA096",4,1,
"ANZA098",5,2,
"ANZA099",15,1,
"ANZA099",5,2,
"ANZA100",5,2,
"ANZA102",19,1,
"ANZA104",5,1,
"ANZA105",25,0,
"ANZA105",13,0,
"ANZA107",5,1,
"ANZA108",5,1,
"ANZA108",29,1,
"ANZA109",5,1,
"ANZA110",29,1,
"ANZA112",13,1,
"ANZA114",5,1,
"ANZA115",19,1,
"ANZA115",2,1,
"ANZA118",5,1,
"ANZA119",5,1,
