AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
32.040.02,Eriogonum fasciculatum,,Association,
32.040.03,Eriogonum fasciculatum – Artemisia tridentata,,Association,
32.040.05,Eriogonum fasciculatum – Ambrosia dumosa,,Association,
32.040.06,Eriogonum fasciculatum (Wash),,Association,
32.040.07,Eriogonum fasciculatum – Salvia mellifera – Malosma laurina,,Association,
32.040.08,Eriogonum fasciculatum – Bebbia juncea,,Association,
32.040.09,Eriogonum fasciculatum – Gutierrezia sarothrae,,Association,
32.040.10,Eriogonum fasciculatum – Cylindropuntia californica,,Association,
32.040.11,Eriogonum fasciculatum – Rhus ovata,,Association,
32.040.12,Eriogonum fasciculatum – Simmondsia chinensis – Cylindropuntia californica,,Association,
32.040.13,Eriogonum fasciculatum var. foliolosum – Juniperus californica,,Association,
32.040.15,Eriogonum fasciculatum var. polifolium / Eriastrum pluriflorum,,Association,
32.040.16,Eriogonum fasciculatum var. foliolosum – Hesperoyucca whipplei,,Association,
32.040.17,Eriogonum fasciculatum – Salvia mellifera,,Association,
32.040.18,Eriogonum fasciculatum – Encelia farinosa,,Association,
32.040.19,Eriogonum fasciculatum – Lotus scoparius,,Association,
32.040.20,Eriogonum fasciculatum – Ephedra californica,,Association,02-Sep-16
32.040.21,Eriogonum fasciculatum / Salvia columbariae – Mirabilis laevis,Provisional,Association,02-Sep-16
32.040.22,Hesperoyucca whipplei,Provisional,Association,18-Apr-17
32.040.23,Eriogonum fasciculatum – Eriophyllum confertiflorum,Provisional,Association,07-Oct-25
32.040.24,Hesperoyucca whipplei – Eriophyllum confertiflorum / Calystegia macrostegia,,Association,07-Oct-25
32.041.01,Eriogonum wrightii – Eriophyllum confertiflorum / Monardella antonina ssp. benitensis,,Association,
32.041.02,Eriogonum wrightii – Juniperus californica,,Association,
32.041.03,Eriogonum wrightii – Corethrogyne filaginifolia,,Association,
32.042.01,Gutierrezia californica / Annual – perennial grass – herb,Provisional,Association,
32.042.02,Gutierrezia californica / Poa secunda,,Association,02-Sep-16
32.043.01,Gutierrezia sarothrae / Pleuraphis rigida – Sphaeralcea ambigua,,Association,14-Feb-17
32.043.02,"Gutierrezia (microcephala, sarothrae)",,Association,14-Feb-17
32.043.03,Gutierrezia sarothrae – Erodium spp. – Nassella pulchra,Provisional,Association,10-Jan-18
