AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
37.325.01,Arctostaphylos luciana – (Adenostoma fasciculatum),,Association,06-Oct-25
37.340.01,Arctostaphylos sensitiva,,Association,12-Feb-20
37.340.02,Arctostaphylos montaraensis – Arctostaphylos imbricata,Provisional,Association,18-Feb-20
37.340.03,Arctostaphylos glutinosa,Provisional,Association,05-Aug-22
37.402.01,Quercus wislizeni – Quercus chrysolepis shrub,,Association,
37.403.01,Quercus wislizeni – Ceanothus leucodermis,,Association,
37.403.02,Quercus wislizeni – Ceanothus leucodermis – Arctostaphylos glandulosa,,Association,
37.403.03,Quercus wislizeni – Ceanothus leucodermis / Pinus coulteri,,Association,
37.404.01,Quercus wislizeni – Quercus berberidifolia,,Association,
37.404.02,Quercus wislizeni – Quercus berberidifolia – Fraxinus dipetala,,Association,
37.405.01,Quercus durata – Arctostaphylos glandulosa,,Association,
37.405.02,Quercus durata,,Association,
37.405.03,Quercus durata – Adenostoma fasciculatum – Quercus wislizeni,,Association,
37.405.04,Quercus durata – Arctostaphylos glauca / Pinus sabiniana,,Association,
37.405.06,Quercus durata – Arctostaphylos glauca – Artemisia californica / Grass,Provisional,Association,
37.405.07,Quercus durata – Arctostaphylos glauca – Garrya congdonii / Melica torreyana,Provisional,Association,
37.405.08,Quercus durata – Arctostaphylos pungens / Pinus sabiniana,,Association,
37.405.09,Quercus durata / Pinus sabiniana,,Association,
37.405.10,Quercus durata – Cercocarpus montanus,,Association,
37.405.11,Quercus durata – Heteromeles arbutifolia – Umbellularia californica,Provisional,Association,
37.405.12,Quercus durata – Frangula californica ssp. tomentella – Arctostaphylos glauca,Provisional,Association,
37.405.13,Quercus durata / Allium falcifolium – Streptanthus batrachopus,,Association,
37.405.14,Quercus durata – Adenostoma fasciculatum / Salvia sonomensis,,Association,
37.405.15,Quercus durata – Adenostoma fasciculatum,,Association,01-Dec-16
37.405.16,Quercus durata – Ceanothus jepsonii,,Association,06-Dec-16
37.406.01,Quercus berberidifolia – Arctostaphylos glauca,,Association,
37.406.02,Quercus berberidifolia – Ceanothus integerrimus,,Association,
37.406.03,Quercus berberidifolia – Ceanothus oliganthus,,Association,
37.406.05,Quercus berberidifolia – Ceanothus cuneatus,,Association,
37.406.06,Quercus berberidifolia – Ceanothus tomentosus,,Association,
37.407.01,Quercus berberidifolia / Aesculus californica,Provisional,Association,
37.407.02,Quercus berberidifolia,,Association,
37.407.03,"Quercus (berberidifolia, ×acutidens) – Adenostoma fasciculatum",,Association,
37.407.04,Quercus berberidifolia – Heteromeles arbutifolia,,Association,
37.407.05,Quercus berberidifolia – Ceanothus leucodermis,,Association,
37.407.06,Quercus berberidifolia – Cercocarpus montanus,,Association,
37.407.07,Quercus berberidifolia – Ceanothus spinosus,,Association,
37.407.08,Quercus berberidifolia – southern mixed chaparral,,Association,
37.407.09,Quercus berberidifolia – Fraxinus dipetala – Heteromeles arbutifolia,,Association,
37.407.12,"Quercus berberidifolia – Ceanothus (oliganthus, tomentosus)",,Association,23-Apr-20
37.409.01,Quercus berberidifolia – Adenostoma fasciculatum – Ceanothus crassifolius,,Association,
37.409.02,Quercus berberidifolia – Adenostoma fasciculatum – Ceanothus greggii,,Association,
37.409.03,Quercus berberidifolia – Adenostoma fasciculatum,,Association,
37.411.03,Quercus garryana shrub,,Association,
37.411.04,Quercus garryana / Festuca californica,,Association,
37.411.05,Quercus garryana – Arctostaphylos patula,,Association,
37.411.06,Quercus garryana – Cercocarpus montanus,Provisional,Association,
37.412.01,Quercus sadleriana,Provisional,Association,
37.413.01,Quercus chrysolepis shrub,,Association,
37.413.02,Quercus chrysolepis – Ceanothus integerrimus,,Association,
37.414.01,Quercus vacciniifolia,,Association,
37.414.02,Quercus vacciniifolia – Chrysolepis sempervirens,,Association,
37.414.03,Quercus vacciniifolia – Arctostaphylos patula,,Association,
37.414.04,Quercus vacciniifolia – Arctostaphylos nevadensis – Arctostaphylos nortensis,,Association,25-Jul-25
37.415.01,Quercus cornelius-mulleri – Rhus ovata,,Association,
37.415.02,Quercus cornelius-mulleri – Eriogonum fasciculatum – Ericameria linearifolia,,Association,
37.415.03,Quercus cornelius-mulleri – Cercocarpus montanus,,Association,
37.415.04,Quercus cornelius-mulleri – Adenostoma sparsifolium – Ceanothus greggii,,Association,
37.415.05,Quercus cornelius-mulleri – Adenostoma sparsifolium – Cercocarpus montanus,,Association,
37.415.06,Quercus cornelius-mulleri – Coleogyne ramosissima,,Association,
37.416.01,Quercus pacifica,,Association,
37.416.02,Quercus pacifica – (Arctostaphylos insularis – Ceanothus megacarpus var. insularis),,Association,05-Jan-17
37.416.03,Quercus pacifica – Rhus integrifolia,,Association,05-Jan-17
37.416.04,Quercus pacifica / grass,Provisional,Association,05-Jan-17
37.416.05,Quercus dumosa,Provisional,Association,10-Jan-18
37.416.06,Comarostaphylis diversifolia,Provisional,Association,10-Jul-25
37.417.01,Chrysolepis chrysophylla / Vaccinium ovatum,,Association,
37.417.02,Chrysolepis chrysophylla – Arctostaphylos glandulosa,,Association,
37.418.01,Quercus john-tuckeri – Adenostoma fasciculatum,,Association,
37.418.02,Quercus john-tuckeri – Juniperus californica – Fraxinus dipetala,,Association,
37.418.03,Quercus john-tuckeri – Quercus wislizeni – Garrya flavescens,,Association,
37.418.04,Quercus john-tuckeri,,Association,
37.418.05,Quercus john-tuckeri – Juniperus californica – Ericameria linearifolia,,Association,
37.419.01,Quercus palmeri – Eriogonum fasciculatum,,Association,
37.419.02,Quercus palmeri – Eriogonum wrightii,,Association,
37.420.01,Quercus wislizeni var. frutescens,,Association,
37.420.02,"Quercus (parvula, wislizeni) – Arctostaphylos glandulosa",,Association,
37.420.03,Quercus wislizeni – Cercocarpus montanus,,Association,
37.420.04,Quercus wislizeni – Cercocarpus montanus – Adenostoma sparsifolium,,Association,
37.420.05,Quercus wislizeni – Cercocarpus montanus – Arctostaphylos glandulosa,,Association,
37.420.07,Quercus wislizeni – Ceanothus oliganthus,Provisional,Association,06-Dec-16
37.422.01,Quercus vacciniifolia – (Garrya fremontii – Ceanothus velutinus),,Association,23-Feb-26
37.422.02,Quercus vacciniifolia – Arctostaphylos canescens – Garrya buxifolia,Provisional,Association,23-Feb-26
37.425.01,Quercus parvula (shrub),Provisional,Association,31-Jan-20
37.425.02,Quercus agrifolia – Quercus chrysolepis – Quercus parvula (shrub),Provisional,Association,03-Feb-20
37.425.03,Quercus wislizeni – Carpenteria californica,Provisional,Association,07-Aug-20
37.425.04,Quercus palmeri,Provisional,Association,01-Sep-23
37.501.01,Adenostoma sparsifolium,,Association,
37.501.02,Adenostoma sparsifolium – Artemisia tridentata,,Association,
37.501.03,Adenostoma sparsifolium – Ceanothus crassifolius,,Association,
37.501.04,Adenostoma sparsifolium – Ceanothus cuneatus,,Association,
37.501.06,Adenostoma sparsifolium – Ericameria linearifolia – Eriogonum fasciculatum – Opuntia basilaris,,Association,
37.501.07,Adenostoma sparsifolium – Eriogonum fasciculatum – Lotus scoparius,,Association,
37.501.09,Adenostoma sparsifolium – Adenostoma fasciculatum,,Association,03-Oct-25
37.502.01,Adenostoma sparsifolium – Cercocarpus montanus,,Association,
37.503.01,Adenostoma sparsifolium – Adenostoma fasciculatum – Cercocarpus montanus,,Association,
37.503.02,Adenostoma sparsifolium – Adenostoma fasciculatum – Ceanothus greggii,,Association,
37.503.03,Adenostoma sparsifolium – Adenostoma fasciculatum – Arctostaphylos pungens,,Association,
37.503.04,Adenostoma sparsifolium – Adenostoma fasciculatum – Ceanothus crassifolius,,Association,
37.503.05,Adenostoma sparsifolium – Adenostoma fasciculatum – Arctostaphylos glauca,,Association,
37.503.06,Adenostoma sparsifolium – Adenostoma fasciculatum – Cylindropuntia californica var. parkeri,,Association,
37.600.01,Cercocarpus montanus – Eriogonum fasciculatum,,Association,
37.600.02,Cercocarpus montanus – Eriogonum fasciculatum – Eriogonum wrightii,,Association,
37.610.01,Cercocarpus montanus var. macrourus,,Association,
37.610.02,Cercocarpus montanus var. minutiflorus,,Association,
37.700.01,Chrysolepis sempervirens,,Association,
37.750.01,Dendromecon rigida,,Association,
37.801.01,Rhus ovata,,Association,
37.801.02,Rhus ovata – Salvia leucophylla – Artemisia californica,,Association,
37.801.03,Rhus ovata – Ziziphus parryi,,Association,
37.802.01,Rhus trilobata,,Association,08-Mar-17
37.803.01,Rhus integrifolia,,Association,
37.803.02,Rhus integrifolia – Adenostoma fasciculatum – Artemisia californica,,Association,
37.803.03,Rhus integrifolia – Artemisia californica – Eriogonum cinereum,,Association,
37.803.04,Rhus integrifolia – Opuntia spp. – Eriogonum cinereum,,Association,
37.803.05,Rhus integrifolia – Artemisia californica – Salvia mellifera,,Association,
37.803.06,Rhus integrifolia – Artemisia californica,Provisional,Association,05-Jan-17
37.803.07,Rhamnus pirifolia,Provisional,Association,24-Apr-18
37.803.08,Rhus integrifolia – Heteromeles arbutifolia,,Association,21-Dec-18
37.803.09,Rhus integrifolia – Malosma laurina,,Association,21-Dec-18
37.905.01,Prunus virginiana,Provisional,Association,09-Jan-17
37.905.02,Prunus virginiana – Symphoricarpos rotundifolius,,Association,02-Oct-19
37.905.03,Prunus subcordata,Provisional,Association,09-Jun-20
37.910.01,Prunus ilicifolia ssp. Ilicifolia / Sanicula crassicaulis,,Association,
37.910.02,Prunus ilicifolia ssp. ilicifolia – Heteromeles arbutifolia,,Association,
37.910.03,Prunus ilicifolia ssp. ilicifolia,,Association,
37.910.04,Prunus ilicifolia ssp. lyonii,,Association,
37.910.05,Prunus ilicifolia ssp. ilicifolia – Ceanothus cuneatus,,Association,
37.910.06,Prunus ilicifolia ssp. ilicifolia – Fraxinus dipetala,,Association,
37.910.07,Prunus ilicifolia ssp. ilicifolia – Toxicodendron diversilobum / grass,Provisional,Association,
37.911.01,Heteromeles arbutifolia Serpentine,,Association,
37.911.02,Heteromeles arbutifolia – Artemisia californica,,Association,
37.911.03,Heteromeles arbutifolia – Malosma laurina,,Association,
37.911.04,Heteromeles arbutifolia – Fraxinus dipetala,Provisional,Association,
37.912.01,Heteromeles arbutifolia,,Association,13-Dec-16
37.912.02,Heteromeles arbutifolia – Artemisia californica – Rhus integrifolia (– Salvia brandegeei),,Association,13-Dec-16
37.912.03,Rhamnus crocea,Provisional,Association,05-Aug-22
37.912.04,"Prunus ilicifolia – Rhamnus (crocea, ilicifolia)",Provisional,Association,05-Aug-22
37.912.05,Ceanothus ferrisiae – Heteromeles arbutifolia,,Association,30-Sep-22
37.920.01,Frangula californica ssp. californica – Baccharis pilularis / Scrophularia californica,,Association,
37.920.02,Frangula californica ssp. tomentella,,Association,01-Sep-09
37.920.03,Frangula californica ssp. tomentella / Cirsium fontinale var. campylon – Mimulus guttatus,,Association,
37.920.04,Frangula californica ssp. tomentella / Hoita macrostachya,,Association,
37.930.01,Morella californica,Provisional,Association,
37.940.01,Toxicodendron diversilobum – Baccharis pilularis – Rubus parviflorus,,Association,
37.940.02,Toxicodendron diversilobum – Artemisia californica / Leymus condensatus,,Association,
37.940.03,Toxicodendron diversilobum – Diplacus aurantiacus,,Association,
37.940.04,Toxicodendron diversilobum – Philadelphus lewisii,,Association,
37.940.05,Toxicodendron diversilobum / Bromus hordeaceus – Micropus californicus,,Association,
37.940.06,Toxicodendron diversilobum / Bromus hordeaceus – Vicia villosa – Madia gracilis,,Association,
37.940.07,Toxicodendron diversilobum / Pteridium aquilinum,,Association,
37.940.08,Toxicodendron diversilobum / herbaceous,,Association,
37.940.09,Toxicodendron diversilobum – (Baccharis pilularis),,Association,01-Dec-16
37.950.01,Corylus cornuta / Polystichum munitum,,Association,
37.960.01,Ribes quercetorum,,Association,28-Feb-17
37.965.01,Prunus virginiana Foothills,Provisional,Association,17-Aug-22
37.965.02,Rhus trilobata Upland,,Association,15-Sep-22
37.965.03,Cercis occidentalis,Provisional,Association,30-Nov-22
37.965.04,Frangula californica – (Prunus emarginata – Ribes menziesii),Provisional,Association,18-Jan-24
37.965.05,Prunus emarginata Foothills,Provisional,Association,04-Apr-24
37.965.06,Sambucus nigra Upland,Provisional,Association,15-Oct-24
37.970.01,Prunus emarginata Sierran,,Association,19-Mar-19
37.970.02,Holodiscus discolor,,Association,02-Oct-19
37.970.03,Ribes velutinum,Provisional,Association,09-Jan-20
37.970.06,Ribes cereum / Achnatherum occidentale,,Association,12-Mar-26
37.980.01,Salix scouleriana,Provisional,Association,24-Sep-21
38.110.01,Dasiphora fruticosa,,Association,
38.110.02,Dasiphora fruticosa / Danthonia intermedia,,Association,
38.110.03,Dasiphora fruticosa / Potentilla breweri,,Association,
38.110.04,Dasiphora fruticosa / Danthonia unispicata,,Association,
38.110.05,Dasiphora fruticosa / Veratrum californicum,,Association,
38.120.01,Ericameria discoidea – Minuartia nuttallii,,Association,
38.120.02,Ericameria discoidea – Linanthus pungens,,Association,
38.120.03,Ericameria discoidea – Phacelia hastata,,Association,
38.120.04,Hulsea algida,,Association,
38.120.06,Hulsea algida – Muhlenbergia richardsonis – Achnatherum pinetorum,,Association,
38.125.01,Ericameria linearifolia,,Association,16-Jun-16
38.125.02,Eastwoodia elegans,,Association,17-Jun-16
38.125.03,Cleome isomeris,,Association,17-Jun-16
38.125.04,Eastwoodia elegans – Krascheninnikovia lanata,,Association,17-Jun-16
38.130.01,Ericameria palmeri,Provisional,Association,24-Mar-15
38.140.01,Argentina egedii,,Association,
38.140.02,Argentina egedii – Alopecurus aequalis,,Association,
38.140.03,Argentina egedii – Eleocharis macrostachya,,Association,
38.140.04,Argentina egedii – Lotus uliginosus,,Association,
38.140.05,Festuca rubra – (Argentina egedii),Provisional,Association,13-Feb-20
38.140.06,Carex obnupta – Argentina egedii,Provisional,Association,18-Feb-20
38.140.07,Argentina egedii – (Juncus lescurii),,Association,07-Jul-21
39.030.01,Venegasia carpesioides,,Association,
39.100.01,Holodiscus discolor / Mimulus suksdorfii,,Association,
39.100.02,Holodiscus discolor / Achnatherum occidentale – Eriogonum nudum,,Association,
39.100.03,Holodiscus discolor – Arctostaphylos patula,,Association,
39.100.04,Holodiscus discolor – Keckiella corymbosa,,Association,
39.100.05,Holodiscus discolor / Sedum obtusatum ssp. boreale – Cryptogramma acrostichoides,,Association,
39.100.06,Holodiscus discolor – Sambucus racemosa,,Association,
41.010.01,Sporobolus airoides,,Association,
41.010.02,Sporobolus airoides / Ericameria nauseosa,,Association,
41.010.03,Sporobolus airoides / Allenrolfea occidentalis,,Association,
41.020.01,Leymus cinereus,Provisional,Association,16-Dec-13
41.030.01,Pleuraphis rigida,,Association,
41.030.02,Pleuraphis rigida / Acamptopappus sphaerocephalus,,Association,
41.030.03,Pleuraphis rigida / Ericameria cooperi,,Association,
41.030.04,Pleuraphis rigida – Dalea mollissima,,Association,
41.030.05,Pleuraphis rigida / Atriplex canescens,,Association,
41.030.06,Pleuraphis rigida / Ambrosia dumosa,,Association,
41.030.07,"Pleuraphis rigida / Ephedra (californica, trifurca)",,Association,
41.030.08,Pleuraphis rigida / Larrea tridentata,,Association,
41.040.01,Pseudoroegneria spicata – Poa secunda,,Association,08-Jan-14
41.040.02,Festuca idahoensis – Pseudoroegneria spicata,,Association,22-Nov-19
41.050.01,Danthonia californica – Arrhenatherum elatius,,Association,
41.050.02,Danthonia californica – Elymus elymoides,,Association,
41.050.03,Danthonia californica – Muhlenbergia filiformis,,Association,
41.050.04,Danthonia californica – Aira caryophyllea,,Association,
41.050.05,Danthonia californica,,Association,
41.050.06,Danthonia californica – (Briza maxima – Vulpia bromoides),,Association,02-Dec-16
41.050.07,Danthonia californica – Nassella pulchra,,Association,14-Dec-16
41.051.01,Danthonia intermedia – Antennaria rosea,Provisional,Association,
41.051.02,Danthonia intermedia – Ptilagrostis kingii,Provisional,Association,
41.051.03,Phleum alpinum – Danthonia unispicata,Provisional,Association,08-Mar-13
41.061.01,Phragmites australis Western Ruderal,,Semi-natural Association,
41.061.02,Phragmites australis – Scirpus spp.,,Semi-natural Association,
41.061.03,Phragmites australis ssp. americanus,Provisional,Association,21-Jul-16
41.070.02,Spartina densiflora,,Semi-natural Association,
41.080.01,Leymus triticoides,,Association,
41.080.02,Leymus triticoides – Bromus spp. – Avena spp.,,Association,
41.080.03,Leymus triticoides – Lolium perenne,,Association,
41.080.04,Leymus triticoides – Carduus pycnocephalus – Geranium dissectum,,Association,
41.080.05,Leymus triticoides – Anemopsis californica,,Association,
41.080.06,Leymus triticoides – Poa secunda,,Association,
41.081.01,Leymus triticoides – Sporobolus airoides,Provisional,Association,19-Mar-19
41.090.01,Achnatherum speciosum Shrub,,Association,
41.100.01,Sphaeralcea ambigua,,Association,31-Jan-17
41.100.02,Descurainia pinnata,Provisional,Association,19-Mar-19
41.110.01,Nassella lepida,,Association,07-Nov-16
41.120.01,Achnatherum hymenoides – Linanthus pungens,,Association,
41.120.02,Achnatherum hymenoides – Oenothera deltoides,,Association,
41.120.03,Achnatherum hymenoides Shrub,,Association,18-Mar-19
41.131.01,Bromus carinatus,,Association,03-Jan-17
41.131.02,Pteridium aquilinum – Grass,,Association,03-Jan-17
41.131.03,Thermopsis californica – Bromus carinatus – Annual Brome,,Association,09-Mar-17
41.140.01,Nassella cernua,,Association,09-Jan-17
41.150.01,Nassella pulchra – Lolium perenne – (Trifolium spp.),,Association,
41.150.02,Nassella pulchra – Avena fatua,,Association,
41.150.03,Nassella pulchra – Sanicula bipinnatifida,,Association,
41.150.04,Nassella pulchra,,Association,
41.150.05,Nassella pulchra – Avena spp. – Bromus spp.,,Association,
41.150.06,Nassella pulchra – Erodium spp. – Avena barbata,,Association,
41.150.07,Nassella pulchra / Hazardia squarrosa,,Association,
41.150.09,Nassella pulchra – Melica californica – annual grass,,Association,
41.150.10,Nassella pulchra – Distichlis spicata – Bromus spp.,,Association,
41.150.11,Nassella pulchra – Leontodon saxatilis,,Association,
41.150.12,Nassella pulchra – Lolium perenne – Astragalus gambelianus – Lepidium nitidum,,Association,
41.150.13,Nassella pulchra – Lolium perenne – Calystegia collina,,Association,
41.150.14,Nassella pulchra / Baccharis pilularis,,Association,
41.151.01,Melica californica,,Association,02-Dec-16
41.151.02,Nassella pulchra – Achnatherum lemmonii,Provisional,Association,02-Dec-16
41.151.03,Nassella (pulchra) – Hemizonia congesta,,Association,02-Dec-16
41.151.04,Nassella pulchra – Lolium perenne – Plantago erecta Serpentine,,Association,02-Dec-16
41.151.05,Nassella pulchra – Plantago lanceolata,Provisional,Association,
41.151.06,Nassella pulchra – Corethrogyne filaginifolia,,Association,13-Dec-16
41.151.07,"Poa secunda – (Trifolium gracilentum, willdenovii)",Provisional,Association,15-Feb-24
41.151.08,Wyethia angustifolia – (Nassella pulchra),Provisional,Association,01-Dec-25
41.180.02,Poa secunda ssp. secunda,,Association,
41.180.03,Poa secunda Moist,,Association,
41.180.04,Danthonia unispicata – Poa secunda,,Association,
41.180.05,Monolopia stricta – Poa secunda,,Association,02-Mar-17
41.180.06,Poa secunda – Bromus rubens,,Association,09-Jan-17
41.190.01,Calamagrostis nutkaensis / Baccharis pilularis,,Association,
41.190.02,Calamagrostis nutkaensis – Carex (obnupta) – Juncus (patens),,Association,
41.190.03,Calamagrostis nutkaensis,,Association,
41.190.04,Leymus ×vancouverensis,,Association,18-Mar-25
41.190.05,Calamagrostis nutkaensis / Baccharis pilularis – Gaultheria shallon,,Association,29-Jul-25
41.195.01,Andropogon glomeratus – Schoenus nigricans,,Association,27-Jan-17
41.200.01,Distichlis spicata / Allenrolfea occidentalis,,Association,
41.200.02,Distichlis spicata – Juncus cooperi,,Association,
41.200.03,Distichlis spicata / Sarcobatus vermiculatus,,Association,
41.200.04,Distichlis spicata / Ericameria albida,,Association,
41.200.05,Distichlis spicata – Juncus arcticus var. balticus (J. arcticus var. mexicanus),,Association,
41.200.06,Distichlis spicata – Jaumea carnosa,,Association,
41.200.07,Distichlis spicata – Frankenia salina – Jaumea carnosa,,Association,
41.200.09,Distichlis spicata,,Association,
41.200.10,Distichlis spicata – Parapholis strigosa,,Association,
41.200.11,Distichlis spicata – Ambrosia chamissonis,,Association,
41.200.13,Distichlis spicata – annual grasses,,Association,
41.200.14,Distichlis spicata – Agrostis viridis,,Association,
41.200.15,Distichlis spicata – Atriplex prostrata,,Association,
41.200.16,Distichlis spicata – (Bromus diandrus – Avena spp.),,Association,
41.200.17,Distichlis spicata – Cotula coronopifolia,,Association,
41.200.18,Distichlis spicata – Hordeum murinum,,Association,
41.200.19,Distichlis spicata – Leymus triticoides,,Association,
41.200.20,Distichlis spicata – Sarcocornia pacifica,,Association,
41.200.21,Distichlis spicata (– Baccharis douglasii – Equisetum hyemale),,Association,14-Dec-16
41.200.22,Juncus acutus,Provisional,Association,10-Apr-18
41.200.23,Distichlis spicata – (Scirpus nevadensis),,Association,19-Mar-19
41.201.01,Distichlis spicata Interior,,Association,06-Feb-23
41.201.02,Distichlis spicata – (Bromus hordeaceus – Hordeum marinum),,Association,15-Mar-23
41.201.03,Distichlis spicata – Juncus arcticus var. balticus (J. mexicanus) Interior,,Association,15-Mar-23
41.201.04,Frankenia salina Interior,,Association,02-Nov-23
41.201.05,Frankenia salina – Distichlis spicata Interior,,Association,11-Jan-24
41.202.01,Argentina egedii – Distichlis spicata,Provisional,Association,06-Feb-23
41.202.02,Distichlis spicata Coastal,,Association,06-Feb-23
41.202.03,Distichlis spicata – Juncus arcticus var. balticus (J. mexicanus) Coastal,,Association,15-Mar-23
41.202.04,Frankenia salina Coastal,,Association,02-Nov-23
41.202.05,Frankenia salina – Distichlis spicata Coastal,,Association,11-Jan-24
41.202.06,Distichlis spicata – Schoenoplectus americanus,Provisional,Association,11-Jan-24
41.202.07,Spergularia salina – Cotula coronopifolia,,Association,18-Mar-25
41.205.01,Deschampsia cespitosa – (Distichlis spicata),Provisional,Association,09-Jul-21
41.211.01,Calamagrostis purpurascens – Linanthus pungens,,Association,
41.211.02,Calamagrostis purpurascens – Ericameria parryi var. monocephala – Linanthus pungens,,Association,
41.211.03,Calamagrostis purpurascens / Ribes cereum,,Association,
41.220.01,Deschampsia cespitosa – Carex nebrascensis,,Association,
41.220.02,Deschampsia cespitosa – Cardamine breweri,,Association,
41.220.03,Deschampsia cespitosa – Senecio scorzonella,,Association,
41.220.04,Deschampsia cespitosa – Senecio scorzonella – Achillea millefolium,,Association,
41.220.05,Deschampsia cespitosa – Anthoxanthum odoratum,,Association,
41.220.07,Deschampsia cespitosa – Solidago multiradiata,,Association,
41.220.08,Deschampsia cespitosa,,Association,
41.220.09,Deschampsia cespitosa – Danthonia californica,,Association,
41.220.10,Deschampsia cespitosa – Trifolium longipes,,Association,
41.220.11,Deschampsia cespitosa – Perideridia parishii,,Association,
41.220.12,Deschampsia cespitosa – Bistorta bistortoides,,Association,
41.220.13,Deschampsia cespitosa – Horkelia marinensis,,Association,
41.220.14,Deschampsia cespitosa – Lilaeopsis masonii,Provisional,Association,
41.220.15,Deschampsia cespitosa var. holciformis,,Association,
41.220.16,Deschampsia cespitosa – Holcus lanatus,,Association,06-Feb-17
41.220.17,Deschampsia cespitosa – Eryngium armatum,,Association,06-Feb-17
41.220.18,"Deschampsia (cespitosa, holciformis)",,Association,09-Jul-21
41.221.01,Deschampsia cespitosa – Iris douglasiana,,Association,13-Feb-20
41.221.02,Deschampsia cespitosa / Rosa nutkana,Provisional,Association,10-Jul-20
41.222.01,Glyceria elata,,Association,
41.222.02,Glyceria elata – Scirpus microcarpus,,Association,
41.222.03,Glyceria elata – Lotus oblongifolius,,Association,
41.222.04,Glyceria striata,,Association,
41.224.01,Calamagrostis canadensis,,Association,
41.224.02,Calamagrostis canadensis – Carex utriculata,,Association,
41.224.03,Calamagrostis canadensis – Dodecatheon redolens,,Association,
41.224.04,Calamagrostis canadensis – Scirpus microcarpus,,Association,
41.224.05,Calamagrostis canadensis – (Carex utriculata),,Association,08-Sep-21
41.225.01,Ptilagrostis kingii,,Association,
41.225.02,Ptilagrostis kingii – Oreostemma alpigenum,,Association,
41.250.01,Festuca idahoensis – Bromus carinatus,,Association,
41.250.02,Festuca idahoensis – Festuca rubra,,Association,
41.250.03,Festuca idahoensis – Achillea millefolium,Provisional,Association,
41.250.04,Festuca idahoensis Ultramafic,Provisional,Association,02-Dec-16
41.250.05,Festuca idahoensis – Danthonia californica – Koeleria macrantha,,Association,02-Dec-16
41.250.06,Festuca californica,,Association,02-Dec-16
41.251.01,Danthonia californica Coastal,,Association,13-Feb-20
41.251.02,Festuca idahoensis – Nassella pulchra,Provisional,Association,13-Feb-20
41.251.03,Perideridia kelloggii – Danthonia californica,Provisional,Association,18-Feb-20
41.251.04,Heterotheca sessiliflora – Danthonia californica,Provisional,Provisional Association,25-Feb-21
41.251.05,Festuca idahoensis – (Danthonia californica – Koeleria macrantha),,Association,22-Jun-22
41.255.01,Festuca rubra,,Association,
41.260.01,Leymus mollis – Carpobrotus edulis,,Association,
41.260.02,Leymus mollis – Ammophila arenaria,,Association,
41.260.03,Leymus mollis – Abronia latifolia – (Cakile sp.),,Association,
41.261.01,Arctostaphylos uva-ursi / Fragaria chiloensis / Cladonia sp.,,Association,24-Jul-25
41.261.02,Vaccinium ovatum Stabilized Dune and Bluff,,Association,24-Jul-25
41.265.01,Leymus condensatus,,Association,
41.275.01,Melica torreyana,,Association,
41.276.01,Muhlenbergia filiformis,Provisional,Association,09-Apr-12
41.276.02,Muhlenbergia filiformis – Agrostis exarata,Provisional,Association,09-Apr-12
41.276.03,Muhlenbergia filiformis – Artemisia ludoviciana,Provisional,Association,09-Apr-12
41.276.04,Penstemon rydbergii – (Muhlenbergia filiformis),Provisional,Association,09-Apr-12
41.277.01,Muhlenbergia richardsonis,Provisional,Association,09-Apr-12
41.277.02,Muhlenbergia richardsonis – Achnatherum pinetorum,Provisional,Association,09-Apr-12
41.278.01,Muhlenbergia rigens,,Association,
41.281.01,Hordeum brachyantherum Montane,,Association,16-Jun-20
41.281.02,Carex praegracilis Montane,,Association,23-Sep-21
41.281.03,Carex athrostachya,Provisional,Association,01-Oct-21
41.289.01,Wyethia mollis – Balsamorhiza sagittata,,Association,13-May-20
41.321.01,Lolium perenne,,Semi-natural Association,
41.321.02,Lolium perenne – Bromus hordeaceus,,Semi-natural Association,
41.321.03,Lolium perenne – (Centaurium muehlenbergii),,Semi-natural Association,
41.321.04,Hemizonia congesta – Lolium perenne,,Association,01-Sep-09
41.321.05,Lolium perenne – Hordeum marinum – Ranunculus californicus,,Semi-natural Association,
41.321.06,Lolium perenne – Leymus triticoides,,Semi-natural Association,
41.321.07,Lolium perenne,,Semi-natural Association,
41.321.08,Lolium perenne – Convolvulus arvensis,,Semi-natural Association,
41.321.09,Lolium perenne – Festuca arundinacea,,Semi-natural Association,
41.321.10,Lolium perenne – Lepidium latifolium,,Semi-natural Association,
41.321.11,Lolium perenne – Lotus corniculatus,,Semi-natural Association,
41.321.12,Zigadenus fremontii – Lolium perenne,Provisional,Association,01-Sep-09
41.610.01,Pleuraphis jamesii / Eriogonum fasciculatum,,Association,
41.610.02,Pleuraphis jamesii / Lycium andersonii,,Association,
41.610.03,Pleuraphis jamesii / Ephedra nevadensis,,Association,
41.610.04,Pleuraphis jamesii,,Association,01-Feb-17
41.610.05,Scleropogon brevifolius – Pleuraphis jamesii – Bouteloua eriopoda,,Association,01-Feb-17
41.610.06,Bouteloua eriopoda – Pleuraphis jamesii,,Association,01-Feb-17
41.640.01,Elymus glaucus,,Association,
41.640.02,Elymus glaucus – Carex pellita,,Association,
41.640.03,Elymus glaucus – Carex feta,,Association,
41.640.04,Elymus glaucus – Heracleum maximum,,Association,
41.650.01,Elymus multisetus – Plantago erecta – Lolium perenne,Provisional,Association,
41.650.02,Elymus multisetus – (Eschscholzia californica – Plantago erecta),,Association,06-Dec-16
