proj_code,Type of protocols,StrataDescription,StrataClassDescription,cdfw_found_values,possible_matches,stratum_method_name,Notes
ALCC,current CNPS/CDFW RA/Releve protocol and CDFW AA protocol,NA,NA,"c(""shrub"", ""herb"", ""tree"", ""seedling"", ""nv"", ""sapling"")",,CNPS/CDFW v.2010,"project uses ""nv"" instead of ""non-vasc"" but they mean the same thing. Does that still work?"
ALCC-GR,current CNPS/CDFW RA/Releve protocol,NA,NA,"c(""herb"", ""shrub"", ""nv"", ""seedling"", ""tree"", ""sapling"")",,CNPS/CDFW v.2010,"project uses ""nv"" instead of ""non-vasc"" but they mean the same thing. Does that still work?"
ALSC,"41 of 49 surveys from 2010-11 were releves, and the others were rapid assessment. Legacy data consisted of belt transects.","Conifer, Hardwood, Lo-tree tall shrub (in AltStrata), Lo-mid shrub (AltStrata), and Herb layers were recorded for overall cover","percent cover used, not classes","c(""herb"", ""shrub"", ""non-vasc"", ""seedling"", ""tree"")","CNPS/CDFW v.2010, CA Native Plant Society (CNPS)",CNPS/CDFW v.2010,
ANZA,Releve using occular estimation.  Plots were triangular with 50 m - 70 m legs forming an isoceles triangles.  Shape altered if vegetation (like riparian) warranted to allow the whole plot to fit homogenous vegetation. CNPS community form Rev. 95/05/19,"Strata were G, S, T same as above plus Total and Non-native. cover was estimated in percents AND cover classes, but were recorded in CVIS using the percent estimates.  Therefore knowledge of classes are not needed for interpretation of the dataset, so refer to documentation if interested.  The CVIS database stored the G,S,T values in fields called TallCover, MedCover, LowCover (which makes more sense, really). These fields are in AltStrata",NA,"c(""s"", ""g"", ""t"", NA)",,NVC Standard 2004,Best existing fit is 'NVC Standard 2004' though this one is lacking 'NA'.
AWSF,CNPS/CDFW Releves and Rapid Assessment 2011,NA,NA,"c(""tree"", ""shrub"", ""herb"", ""under-tree"", ""sapling"")",CNPS/CDFW v.2010,CNPS/CDFW v.2010,
CAMO-VegMap,"National Park Service protocols, includes 1000 sq m releve plots, observation/Rapid Assessment points, and polygon-based Reconnaissance",%tree cover put in UnderTree_cvr; bedrock as well as lg rock and sm rock cover values collected,NA,"c(""herb"", ""tree"", ""shrub"", ""non-vasc"")","Simple Four Strata, CNPS/CDFW v.2010, CA Native Plant Society (CNPS)",CNPS/CDFW v.2010,
CANO,Modified Rapid Assessment Protocol with additional tree data,NA,NA,"c(""tree"", ""sapling"", ""shrub"", ""herb"", ""seedling"", ""non-vasc"")","CNPS/CDFW v.2010, CA Native Plant Society (CNPS)",CNPS/CDFW v.2010,
CARR,NA,NA,NA,"c(""herb"", ""tree"", ""shrub"")","Simple Four Strata, CNPS/CDFW v.2010, CA Native Plant Society (CNPS), NVC Growth form/Size class",CNPS/CDFW v.2010,
CAVA,"Rapid Assessment Releve , Reconnaissance, short recon",NA,NA,"c(""herb"", ""non-vasc"")","Simple Four Strata, CNPS/CDFW v.2010, CA Native Plant Society (CNPS)",CNPS/CDFW v.2010,
CDLO,Rapid Assessment,Tall Shrub/Low Shrub heights recorded and placed in AltStrata; Shrub cover not split,NA,"c(""l"", ""m"", ""t"")","CNPS RA 2007, CNPS/CDFW RA v. 2005, CA Native Plant Society (CNPS)",CNPS/CDFW RA v. 2005,
CEQA_BRVC,RA/Releve 2024,NA,NA,"c(""herb"", ""shrub"", ""tree"")","Simple Four Strata, CNPS/CDFW v.2010, CA Native Plant Society (CNPS), NVC Growth form/Size class",CNPS/CDFW v.2010,
CEQA_SWNC,CDFW-CNPS rapid/releve vegatation protocol,NA,NA,"c(""tree"", ""shrub"", ""seedling"", ""herb"")","CNPS/CDFW v.2010, CA Native Plant Society (CNPS)",CNPS/CDFW v.2010,
