CaCode,ScientificName,ClassifLevel,2009/NVC_Code,ELCODE,Inactivated,ELCODE_Final
21.102.02,Ambrosia chamissonis – Abronia maritima – Cakile maritima,Association,CEPP005683,CEPP005683,FALSE,CEPP005683
21.102.03,Ambrosia chamissonis – Malacothrix incana – Carpobrotus chilensis – Poa douglasii,Association,CEPP005676,CEPP005676,FALSE,CEPP005676
21.110.01,Artemisia pycnocephala – Cardionema ramosissimum,Association,CEGL003182,CEGL003182,FALSE,CEGL003182
22.100.01,Dicoria canescens,Association,CEGL005747,CEGL005747,FALSE,CEGL005747
32.010.01,Artemisia californica,Association,CEGL003536,CEGL003536,FALSE,CEGL003536
32.010.04,Artemisia californica – Salvia leucophylla,Association,CEGL003547,CEGL003547,TRUE,CEGL003547
32.010.07,Artemisia californica – Eriogonum cinereum,Association,CEGL003541,CEGL003541,FALSE,CEGL003541
32.010.10,Artemisia californica – Malosma laurina,Association,,CEGL003697,TRUE,CEGL003697
32.010.11,Artemisia californica – Diplacus aurantiacus,Association,CEGL003543,CEGL003543,FALSE,CEGL003543
32.010.14,Artemisia californica – (Salvia leucophylla) / Leymus condensatus,Association,CEGL003540,CEGL003540,FALSE,CEGL003540
32.020.01,Salvia mellifera – Malosma laurina,Association,,CEGL003730,TRUE,CEGL003730
32.020.03,Salvia mellifera,Association,CEGL003727,CEGL003727,FALSE,CEGL003727
32.020.06,Salvia mellifera – Eriogonum fasciculatum / Bromus rubens,Association,CEGL005317,CEGL005317,FALSE,CEGL005317
32.020.08,Salvia mellifera – Eriogonum cinereum,Association,CEGL003728,CEGL003728,FALSE,CEGL003728
32.020.11,Salvia mellifera – Rhus ovata,Association,CEGL003732,CEGL003732,FALSE,CEGL003732
32.035.01,Eriogonum cinereum,Association,,CEGL003680,FALSE,CEGL003680
32.040.02,Eriogonum fasciculatum,Association,,CEGL001258,FALSE,CEGL001258
32.040.06,Eriogonum fasciculatum (Wash),Association,CEPP006706,CEPP006706,FALSE,CEPP006706
32.040.07,Eriogonum fasciculatum – Salvia mellifera – Malosma laurina,Association,,CEGL003685,FALSE,CEGL003685
32.041.01,Eriogonum wrightii – Eriophyllum confertiflorum / Monardella antonina ssp. benitensis,Association,CECA000007,,FALSE,CECA000007
32.041.02,Eriogonum wrightii – Juniperus californica,Association,CECA000008,,FALSE,CECA000008
32.041.03,Eriogonum wrightii – Corethrogyne filaginifolia,Association,CECA000006,,FALSE,CECA000006
32.044.03,Isocoma menziesii – Lupinus albifrons,Association,CEPP005669,CEPP005669,FALSE,CEPP005669
32.050.01,Encelia californica – Artemisia californica,Association,,CEGL003657,FALSE,CEGL003657
32.050.02,Encelia californica,Association,,CEGL003644,FALSE,CEGL003644
32.050.04,Encelia californica – Eriogonum cinereum,Association,,CEGL003666,FALSE,CEGL003666
32.050.05,Encelia californica – Malosma laurina – Salvia mellifera,Association,,CEGL003668,FALSE,CEGL003668
