CaCode,ScientificName,ClassifLevel,2009/NVC_Code,ELCODE,Inactivated,ELCODE_Final
32.050.06,Encelia californica – Rhus integrifolia,Association,,CEGL003672,FALSE,CEGL003672
32.055.01,Hazardia squarrosa / Nassella pulchra – Deinandra fasciculata,Association,CEGL003689,CEGL003689,FALSE,CEGL003689
32.055.02,Hazardia squarrosa – Artemisia californica,Association,CEGL003691,CEGL003691,FALSE,CEGL003691
32.060.01,Baccharis pilularis / Eriophyllum staechadifolium,Association,CEGL003190,CEGL003190,FALSE,CEGL003190
32.060.02,Baccharis pilularis / Deschampsia cespitosa,Association,CEGL003188,CEGL003188,FALSE,CEGL003188
32.060.04,Baccharis pilularis / Polystichum munitum,Association,,CEGL003195,TRUE,CEGL003195
32.060.05,Baccharis pilularis – Artemisia californica,Association,CEGL003184,CEGL003184,FALSE,CEGL003184
32.060.06,Baccharis pilularis – Lupinus arboreus,Association,CEGL003193,CEGL003193,FALSE,CEGL003193
32.060.08,Baccharis pilularis / Scrophularia californica,Association,CEGL001426,CEGL001426,FALSE,CEGL001426
32.060.10,Baccharis pilularis / Nassella pulchra,Association,,CEGL003194,TRUE,CEGL003194
32.060.11,Baccharis pilularis / Danthonia californica,Association,CEGL003187,CEGL003187,FALSE,CEGL003187
32.060.12,Holodiscus discolor – Baccharis pilularis – Rubus ursinus,Association,CEGL003192,CEGL003192,FALSE,CEGL003192
32.060.13,Baccharis pilularis / Carex obnupta – Juncus patens,Association,,CEGL003185,FALSE,CEGL003185
32.060.14,Baccharis pilularis – Ceanothus thyrsiflorus,Association,CEGL003186,CEGL003186,FALSE,CEGL003186
32.060.15,Baccharis pilularis – Rubus ursinus / weedy herb,Association,,CEGL003196,TRUE,CEGL003196
32.060.16,Baccharis pilularis – Frangula californica – Rubus parviflorus,Association,,CEGL003191,TRUE,CEGL003191
32.060.17,Baccharis pilularis – Toxicodendron diversilobum,Association,CEGL003197,CEGL003197,FALSE,CEGL003197
32.060.20,Baccharis pilularis / Annual grass – herb,Association,CEGL003183,CEGL003183,FALSE,CEGL003183
32.060.21,Baccharis pilularis / (Nassella pulchra – Elymus glaucus – Bromus carinatus),Association,CEPP005664,CEPP005664,FALSE,CEPP005664
32.060.23,Baccharis pilularis,Association,CEPP005665,CEPP005665,FALSE,CEPP005665
32.060.24,Baccharis pilularis / Dudleya farinosa,Association,,CEGL003189,TRUE,CEGL003189
32.080.02,Lupinus arboreus,Association,,CEGL003061,FALSE,CEGL003061
32.081.01,Lupinus albifrons,Association,CEGL005815,CEGL005815,FALSE,CEGL005815
32.081.02,Lupinus albifrons coastal,Association,CEPP005721,CEPP005721,FALSE,CEPP005721
32.082.01,"Diplacus (aurantiacus, puniceus)",Association,CEGL003705,CEGL003705,FALSE,CEGL003705
32.090.01,Salvia leucophylla – Artemisia californica,Association,CEGL003547,CEGL003547,FALSE,CEGL003547
32.090.03,Salvia leucophylla,Association,CEGL003723,CEGL003723,FALSE,CEGL003723
32.090.04,Artemisia californica – Salvia leucophylla – Eriogonum cinereum / Nassella spp.,Association,CEGL003548,CEGL003548,FALSE,CEGL003548
32.090.05,Salvia leucophylla – Eriogonum cinereum / annual herb,Association,CEGL003726,CEGL003726,FALSE,CEGL003726
32.100.01,Eriogonum fasciculatum – Salvia apiana,Association,,CEGL003048,FALSE,CEGL003048
32.110.03,(Artemisia californica) – Eriogonum fasciculatum – Salvia leucophylla,Association,CEGL003545,CEGL003545,FALSE,CEGL003545
32.110.04,Artemisia californica – Eriogonum fasciculatum – Salvia mellifera,Association,CEGL003546,CEGL003546,FALSE,CEGL003546
32.110.05,Artemisia californica – Eriogonum fasciculatum,Association,CEGL003544,CEGL003544,FALSE,CEGL003544
32.120.01,Salvia mellifera – Artemisia californica,Association,,CEGL003012,FALSE,CEGL003012
32.150.02,Opuntia littoralis,Association,CEGL003066,CEGL003066,FALSE,CEGL003066
32.160.03,Lupinus chamissonis – Ericameria ericoides,Association,CEGL003492,CEGL003492,FALSE,CEGL003492
33.010.10,Larrea tridentata – Ephedra nevadensis,Association,CEGL001268,CEGL001268,FALSE,CEGL001268
33.010.12,Larrea tridentata – Atriplex polycarpa,Association,CEGL005765,CEGL005765,FALSE,CEGL005765
33.010.13,Larrea tridentata – Pleuraphis rigida,Association,CEGL005768,CEGL005768,FALSE,CEGL005768
33.010.16,Larrea tridentata – Atriplex hymenelytra,Association,,CEGL001264,TRUE,CEGL001264
33.010.17,Larrea tridentata – Atriplex confertifolia,Association,,CEGL001263,FALSE,CEGL001263
33.020.01,Coleogyne ramosissima,Association,CEGL001332,CEGL001332,FALSE,CEGL001332
33.020.03,Coleogyne ramosissima – Ephedra spp.,Association,CEGL005297,CEGL005297,FALSE,CEGL005297
33.020.05,Coleogyne ramosissima – Eriogonum fasciculatum,Association,CEGL001333,CEGL001333,FALSE,CEGL001333
33.020.07,Coleogyne ramosissima – Larrea tridentata,Association,CEGL002717,CEGL002717,FALSE,CEGL002717
33.020.08,Coleogyne ramosissima – Lycium andersonii,Association,CEGL005746,CEGL005746,FALSE,CEGL005746
33.025.01,Encelia virginensis,Association,CEGL001335,CEGL001335,FALSE,CEGL001335
33.027.02,Larrea tridentata – Encelia farinosa – Bebbia juncea,Association,CEPP006723,CEPP006723,FALSE,CEPP006723
33.027.03,Larrea tridentata – Encelia farinosa – Ambrosia dumosa,Association,CEGL005766,CEGL005766,FALSE,CEGL005766
33.027.04,Larrea tridentata – Encelia farinosa – Fouquieria splendens,Association,CEGL005138,CEGL005138,FALSE,CEGL005138
33.027.05,Larrea tridentata – Encelia farinosa,Association,CEGL002955,CEGL002955,FALSE,CEGL002955
33.027.06,Larrea tridentata – Encelia farinosa – Peucephyllum schottii,Association,CECA000009,,FALSE,CECA000009
33.027.07,Larrea tridentata – Encelia farinosa – Pleurocoronis pluriseta,Association,CEGL005767,CEGL005767,FALSE,CEGL005767
33.030.01,Encelia farinosa,Association,CEGL001251,CEGL001251,FALSE,CEGL001251
33.030.02,Encelia farinosa – Peucephyllum schottii,Association,CEGL005749,CEGL005749,FALSE,CEGL005749
33.032.02,Viguiera parishii – Eriogonum fasciculatum,Association,CEGL005775,CEGL005775,FALSE,CEGL005775
33.032.03,Viguiera parishii,Association,CEGL002721,CEGL002721,FALSE,CEGL002721
33.033.01,Viguiera reticulata,Association,CEGL002962,CEGL002962,FALSE,CEGL002962
33.040.01,Senegalia greggii Wash,Association,CEGL005390,CEGL005390,FALSE,CEGL005390
33.040.05,Senegalia greggii – Ambrosia salsola,Association,CEGL009522,CEGL009522,FALSE,CEGL009522
33.040.06,Senegalia greggii – Viguiera parishii,Association,CEPP005786,CEPP005786,FALSE,CEPP005786
33.040.07,Senegalia greggii – Prunus fasciculata,Association,CEGL005738,CEGL005738,FALSE,CEGL005738
33.040.13,Senegalia greggii – Eriogonum fasciculatum,Association,CEPP005785,CEPP005785,FALSE,CEPP005785
33.050.01,Cylindropuntia bigelovii,Association,,CEGL003065,FALSE,CEGL003065
33.060.02,Ambrosia dumosa,Association,CEGL005074,CEGL005074,FALSE,CEGL005074
33.060.03,Ambrosia dumosa – Atriplex hymenelytra,Association,,CEGL005740,TRUE,CEGL005740
33.060.06,Encelia farinosa – Ambrosia dumosa,Association,CEGL005061,CEGL005061,FALSE,CEGL005061
33.070.04,Yucca schidigera – Coleogyne ramosissima,Association,CEGL005780,CEGL005780,FALSE,CEGL005780
33.070.05,Yucca schidigera – Larrea tridentata – Ambrosia dumosa,Association,CEGL005295,CEGL005295,FALSE,CEGL005295
33.070.06,Yucca schidigera – Larrea tridentata – Ephedra nevadensis,Association,CEGL005782,CEGL005782,FALSE,CEGL005782
33.070.07,Yucca schidigera – Eriogonum fasciculatum,Association,CEGL005781,CEGL005781,FALSE,CEGL005781
33.070.08,Yucca schidigera – Cylindropuntia acanthocarpa,Association,CEGL005783,CEGL005783,FALSE,CEGL005783
33.080.01,Nolina parryi,Association,CEGL002956,CEGL002956,FALSE,CEGL002956
33.080.02,Nolina bigelovii,Association,,CEGL003064,FALSE,CEGL003064
33.140.04,Larrea tridentata,Association,CEGL005145,CEGL005145,FALSE,CEGL005145
33.140.09,Larrea tridentata – Ambrosia dumosa – Atriplex hymenelytra,Association,CEGL005758,CEGL005758,FALSE,CEGL005758
33.140.11,Larrea tridentata – Ambrosia dumosa – Yucca schidigera,Association,CEGL005762,CEGL005762,FALSE,CEGL005762
33.140.13,Larrea tridentata – Ambrosia dumosa – Senna armata,Association,CEPP006721,CEPP006721,FALSE,CEPP006721
33.140.17,Larrea tridentata – Ambrosia dumosa / Pleuraphis rigida,Association,CEGL005764,CEGL005764,FALSE,CEGL005764
33.140.28,Larrea tridentata – Ambrosia dumosa – Eriogonum fasciculatum,Association,CEGL005760,CEGL005760,FALSE,CEGL005760
33.140.29,Larrea tridentata – Ambrosia dumosa – Ephedra funerea,Association,CEGL005759,CEGL005759,FALSE,CEGL005759
33.140.35,Larrea tridentata – Ambrosia dumosa / Cryptogamic crust,Association,CEGL005763,CEGL005763,FALSE,CEGL005763
33.140.39,Larrea tridentata – Ambrosia dumosa – Atriplex confertifolia,Association,CEGL005757,CEGL005757,FALSE,CEGL005757
33.140.40,Larrea tridentata – Ambrosia dumosa – Amphipappus fremontii,Association,CEGL005756,CEGL005756,FALSE,CEGL005756
33.140.42,Larrea tridentata – Ambrosia dumosa,Association,CEGL002954,CEGL002954,FALSE,CEGL002954
33.140.44,Larrea tridentata – Ambrosia dumosa – Fouquieria splendens,Association,CEGL005136,CEGL005136,FALSE,CEGL005136
33.170.02,Yucca brevifolia / Coleogyne ramosissima,Association,CEGL005294,CEGL005294,FALSE,CEGL005294
33.170.04,Yucca brevifolia / (Artemisia tridentata – Atriplex confertifolia),Association,CEPP006854,CEPP006854,FALSE,CEPP006854
33.170.06,Yucca brevifolia / Cylindropuntia acanthocarpa,Association,CEGL005779,CEGL005779,FALSE,CEGL005779
33.170.08,Yucca brevifolia / Lycium andersonii – Ephedra nevadensis,Association,CEGL005778,CEGL005778,FALSE,CEGL005778
33.170.10,Yucca brevifolia / Larrea tridentata – Yucca schidigera / Pleuraphis rigida,Association,CEGL005777,CEGL005777,FALSE,CEGL005777
33.170.13,Yucca brevifolia / (Prunus fasciculata – Salazaria mexicana),Association,CEGL005776,CEGL005776,FALSE,CEGL005776
33.170.16,Yucca brevifolia / Pleuraphis rigida,Association,CEGL002725,CEGL002725,FALSE,CEGL002725
33.170.18,Yucca brevifolia / (Yucca baccata) / Pleuraphis jamesii – Bouteloua eriopoda,Association,CEPP006862,CEPP006862,FALSE,CEPP006862
33.180.01,Grayia spinosa,Association,CEGL002358,CEGL002358,FALSE,CEGL002358
33.180.03,Grayia spinosa – Larrea tridentata,Association,CEGL001271,CEGL001271,FALSE,CEGL001271
33.180.04,Grayia spinosa – Lycium andersonii,Association,CEGL001347,CEGL001347,FALSE,CEGL001347
33.180.07,Grayia spinosa – Picrothamnus desertorum,Association,CEGL001345,CEGL001345,FALSE,CEGL001345
33.190.01,Hyptis emoryi,Association,CEGL002960,CEGL002960,FALSE,CEGL002960
33.200.01,Ambrosia salsola,Association,CEGL005398,CEGL005398,FALSE,CEGL005398
33.200.02,Ambrosia salsola – Eriogonum fasciculatum,Association,CEPP006711,CEPP006711,FALSE,CEPP006711
33.200.05,Bebbia juncea,Association,CEGL005391,CEGL005391,FALSE,CEGL005391
33.200.06,Ambrosia salsola – (Ambrosia eriocentra – Brickellia incana),Association,CEGL002702,CEGL002702,FALSE,CEGL002702
33.200.08,Senna armata – Ambrosia salsola,Association,CEPP006756,CEPP006756,FALSE,CEPP006756
33.200.10,Ambrosia salsola – Larrea tridentata,Association,CEGL005753,CEGL005753,FALSE,CEGL005753
33.240.01,Purshia stansburiana,Association,CEGL002957,CEGL002957,FALSE,CEGL002957
33.270.02,Ephedra californica – Ambrosia salsola,Association,CEGL002958,CEGL002958,FALSE,CEGL002958
33.280.01,Ephedra nevadensis – (Salazaria mexicana – Ambrosia salsola),Association,CEGL005751,CEGL005751,FALSE,CEGL005751
33.280.04,Ephedra nevadensis – Lycium andersonii,Association,CEGL005752,CEGL005752,FALSE,CEGL005752
33.280.05,Ephedra nevadensis – Ericameria cooperi,Association,CEGL001253,CEGL001253,FALSE,CEGL001253
33.285.01,Artemisia tridentata ssp. vaseyana – Ephedra viridis,Association,,CEPP006855,FALSE,CEPP006855
33.290.01,Menodora spinescens – Atriplex confertifolia,Association,CEGL005769,CEGL005769,FALSE,CEGL005769
33.290.02,Menodora spinescens – (Ephedra nevadensis),Association,CEGL002767,CEGL002767,FALSE,CEGL002767
33.300.01,Prunus fasciculata,Association,,CEGL002704,FALSE,CEGL002704
33.300.03,Prunus fasciculata – Rhus trilobata,Association,,CEPP006741,FALSE,CEPP006741
33.300.04,Prunus fasciculata – (Purshia stansburiana – Viguiera reticulata),Association,,CEGL006863,FALSE,CEGL006863
33.300.05,Prunus fasciculata – Ambrosia eriocentra,Association,,CEGL005773,FALSE,CEGL005773
33.310.01,Salazaria mexicana,Association,CEGL005293,CEGL005293,FALSE,CEGL005293
33.310.03,Ambrosia salsola – Salazaria mexicana,Association,CEGL002703,CEGL002703,FALSE,CEGL002703
33.320.01,Salvia dorrii Wash,Association,CEGL005774,CEGL005774,FALSE,CEGL005774
33.360.02,Lycium andersonii,Association,CEGL006857,CEGL006857,FALSE,CEGL006857
35.110.01,Artemisia tridentata – Ericameria nauseosa,Association,CEGL000998,CEGL000998,FALSE,CEGL000998
35.110.02,Artemisia tridentata,Association,CEGL000991,CEGL000991,FALSE,CEGL000991
35.110.04,Artemisia tridentata – Symphoricarpos longiflorus,Association,CEGL001012,CEGL001012,FALSE,CEGL001012
35.110.07,Purshia glandulosa – Artemisia tridentata,Association,CEPP006746,CEPP006746,FALSE,CEPP006746
35.110.12,Artemisia tridentata – Chrysothamnus viscidiflorus / (Poa secunda),Association,CEGL000999,CEGL000999,FALSE,CEGL000999
35.110.13,Artemisia tridentata – Ephedra nevadensis,Association,CEGL001002,CEGL001002,FALSE,CEGL001002
35.110.14,Artemisia tridentata – Ericameria teretifolia,Association,CEPP005793,CEPP005793,FALSE,CEPP005793
35.111.01,Artemisia tridentata ssp. vaseyana / Carex exserta,Association,,CEGL008651,FALSE,CEGL008651
35.111.02,Artemisia tridentata ssp. vaseyana,Association,,CEPP005794,FALSE,CEPP005794
35.111.04,Artemisia tridentata ssp. vaseyana / Monardella odoratissima,Association,,CEGL003476,FALSE,CEGL003476
35.120.03,Artemisia arbuscula / Festuca idahoensis,Association,CEGL001409,CEGL001409,FALSE,CEGL001409
35.120.04,Artemisia arbuscula / Linanthus pungens,Association,CEGL003482,CEGL003482,FALSE,CEGL003482
35.120.05,"Artemisia arbuscula – Eriogonum (microthecum, sphaerocephalum)",Association,CEGL003483,CEGL003483,FALSE,CEGL003483
35.130.01,Artemisia nova,Association,CEGL001417,CEGL001417,FALSE,CEGL001417
35.140.02,Artemisia rothrockii / Monardella odoratissima,Association,CEGL008652,CEGL008652,FALSE,CEGL008652
35.150.04,Artemisia cana / Juncus arcticus var. balticus,Association,CEGL005998,CEGL005998,FALSE,CEGL005998
35.150.05,Artemisia cana / Iris missouriensis – Juncus arcticus var. balticus,Association,,CEGL003475,TRUE,CEGL003475
35.150.06,Artemisia cana – Muhlenbergia richardsonis,Association,,CEGL001743,FALSE,CEGL001743
35.150.07,Artemisia cana / mesic (Poa secunda – Poa cusickii),Association,,CEGL001548,TRUE,CEGL001548
35.200.01,Purshia tridentata – Artemisia tridentata – Tetradymia canescens,Association,,CEGL003481,TRUE,CEGL003481
35.200.02,Purshia tridentata – Artemisia tridentata / Achnatherum hymenoides,Association,CEGL003478,CEGL003478,FALSE,CEGL003478
35.200.03,Purshia tridentata – Artemisia tridentata,Association,CEGL003480,CEGL003480,FALSE,CEGL003480
35.200.04,Purshia tridentata / Achnatherum nelsonii,Association,,CEGL003479,TRUE,CEGL003479
35.200.05,Purshia tridentata – Artemisia tridentata / Eriogonum umbellatum,Association,,CEGL003477,TRUE,CEGL003477
35.310.02,Ericameria nauseosa / Sporobolus airoides,Association,CEGL002918,CEGL002918,FALSE,CEGL002918
35.330.01,Ericameria teretifolia,Association,CEGL002963,CEGL002963,FALSE,CEGL002963
35.340.01,Ericameria paniculata,Association,CEGL002706,CEGL002706,FALSE,CEGL002706
35.340.02,Ericameria paniculata – Ambrosia salsola,Association,CEPP006864,CEPP006864,FALSE,CEPP006864
36.120.02,Allenrolfea occidentalis – Suaeda moquinii,Association,CEPP005787,CEPP005787,FALSE,CEPP005787
36.120.04,Allenrolfea occidentalis,Association,CEGL000988,CEGL000988,TRUE,CEGL000988
36.200.01,Suaeda moquinii,Association,CEGL001991,CEGL001991,FALSE,CEGL001991
36.200.02,Suaeda moquinii – Allenrolfea occidentalis,Association,,CEGL001991,TRUE,CEGL001991
36.200.03,Suaeda moquinii – Atriplex canescens,Association,CEPP006758,CEPP006758,FALSE,CEPP006758
36.310.01,Atriplex canescens,Association,CEGL001281,CEGL001281,FALSE,CEGL001281
36.310.02,Atriplex canescens – Krascheninnikovia lanata,Association,CEGL001285,CEGL001285,FALSE,CEGL001285
36.320.02,Atriplex confertifolia – Ephedra nevadensis,Association,CEGL001303,CEGL001303,FALSE,CEGL001303
36.320.03,Atriplex confertifolia – Ambrosia dumosa,Association,CEGL005739,CEGL005739,FALSE,CEGL005739
36.320.06,Atriplex confertifolia – Atriplex canescens,Association,CEPP005795,CEPP005795,FALSE,CEPP005795
36.320.07,Atriplex confertifolia – Lycium andersonii,Association,CEGL001308,CEGL001308,FALSE,CEGL001308
36.320.08,Atriplex confertifolia – Krascheninnikovia lanata,Association,CEGL001301,CEGL001301,FALSE,CEGL001301
36.320.10,Atriplex confertifolia Great Basin,Association,CEGL001294,CEGL001294,FALSE,CEGL001294
36.330.01,Atriplex hymenelytra,Association,CEGL001317,CEGL001317,FALSE,CEGL001317
36.330.02,Atriplex hymenelytra – Ambrosia dumosa,Association,CEGL005740,CEGL005740,FALSE,CEGL005740
36.330.03,Atriplex hymenelytra – Larrea tridentata,Association,CEGL001264,CEGL001264,FALSE,CEGL001264
36.330.04,Atriplex hymenelytra – Tidestromia oblongifolia,Association,CEGL005741,CEGL005741,FALSE,CEGL005741
36.340.01,Atriplex confertifolia – Atriplex polycarpa,Association,CEGL001299,CEGL001299,FALSE,CEGL001299
36.340.04,Atriplex polycarpa,Association,CEGL001318,CEGL001318,FALSE,CEGL001318
36.350.01,Atriplex spinifera,Association,,CEGL003015,FALSE,CEGL003015
36.370.01,Atriplex lentiformis,Association,CEPP005799,CEPP005799,FALSE,CEPP005799
36.400.02,"Sarcobatus vermiculatus – Atriplex confertifolia – (Picrothamnus desertorum, Suaeda moquinii)",Association,CEGL001371,CEGL001371,FALSE,CEGL001371
36.500.01,Krascheninnikovia lanata,Association,CEGL001320,CEGL001320,FALSE,CEGL001320
37.101.07,Adenostoma fasciculatum – (Arctostaphylos glandulosa),Association,CEGL003502,CEGL003502,FALSE,CEGL003502
37.101.12,Adenostoma fasciculatum – Diplacus aurantiacus,Association,CEGL003178,CEGL003178,FALSE,CEGL003178
37.101.14,Adenostoma fasciculatum – Eriogonum fasciculatum,Association,CEGL002934,CEGL002934,FALSE,CEGL002934
37.101.15,Adenostoma fasciculatum – (Arctostaphylos glandulosa – Ceanothus jepsonii),Association,CEGL003176,CEGL003176,FALSE,CEGL003176
37.101.16,Adenostoma fasciculatum,Association,CEGL002924,CEGL002924,FALSE,CEGL002924
37.101.20,Adenostoma fasciculatum – (Ceanothus megacarpus),Association,CEGL002926,CEGL002926,FALSE,CEGL002926
37.101.21,Adenostoma fasciculatum – Malosma laurina,Association,CEGL003467,CEGL003467,FALSE,CEGL003467
37.101.32,Adenostoma fasciculatum – Arctostaphylos glandulosa – Ceanothus jepsonii / Calamagrostis ophitidis,Association,,CEGL003176,TRUE,CEGL003176
37.101.33,Adenostoma fasciculatum – Malosma laurina – Eriodictyon crassifolium,Association,,CEGL003498,TRUE,CEGL003498
37.102.02,Adenostoma fasciculatum – Salvia mellifera,Association,,CEGL003524,FALSE,CEGL003524
37.102.06,Adenostoma fasciculatum – Salvia mellifera – Malosma laurina,Association,CEGL003529,CEGL003529,FALSE,CEGL003529
37.102.07,Adenostoma fasciculatum – Salvia mellifera – Rhus ovata,Association,CEGL003531,CEGL003531,FALSE,CEGL003531
37.104.01,Arctostaphylos glauca – Adenostoma fasciculatum,Association,CEGL003504,CEGL003504,FALSE,CEGL003504
37.106.10,Arctostaphylos glandulosa – Adenostoma fasciculatum – Quercus wislizeni,Association,CEGL003177,CEGL003177,FALSE,CEGL003177
37.106.13,Arctostaphylos glandulosa – Adenostoma fasciculatum,Association,CEGL003502,CEGL003502,FALSE,CEGL003502
37.201.01,Ceanothus megacarpus,Association,,CEGL003562,FALSE,CEGL003562
37.201.02,Ceanothus megacarpus – Adenostoma fasciculatum,Association,CEGL003565,CEGL003565,FALSE,CEGL003565
37.201.04,Ceanothus megacarpus – Adenostoma sparsifolium,Association,CEGL003566,CEGL003566,FALSE,CEGL003566
37.201.05,Ceanothus megacarpus – Cercocarpus montanus,Association,CEGL003029,CEGL003029,FALSE,CEGL003029
37.201.06,Ceanothus megacarpus – Malosma laurina,Association,CEGL003567,CEGL003567,FALSE,CEGL003567
37.201.08,Ceanothus megacarpus – Salvia mellifera,Association,CEGL003574,CEGL003574,FALSE,CEGL003574
37.203.01,Ceanothus megacarpus – Rhamnus ilicifolia,Association,,CEGL003030,FALSE,CEGL003030
37.204.01,Ceanothus thyrsiflorus – Baccharis pilularis – Toxicodendron diversilobum,Association,CEGL003198,CEGL003198,FALSE,CEGL003198
37.204.02,Ceanothus thyrsiflorus – (Rubus ursinus),Association,CEGL003033,CEGL003033,FALSE,CEGL003033
37.204.03,Ceanothus thyrsiflorus – Vaccinium ovatum – Rubus parviflorus,Association,CEGL003199,CEGL003199,TRUE,CEGL003199
37.205.01,Ceanothus leucodermis,Association,CEGL003028,CEGL003028,FALSE,CEGL003028
37.206.01,Ceanothus integerrimus,Association,CEGL003027,CEGL003027,FALSE,CEGL003027
37.206.04,Ceanothus integerrimus – Arctostaphylos viscida,Association,CEGL005818,CEGL005818,FALSE,CEGL005818
37.207.01,Ceanothus oliganthus,Association,CEGL003603,CEGL003603,FALSE,CEGL003603
37.207.04,Ceanothus oliganthus – Adenostoma sparsifolium,Association,CEGL003605,CEGL003605,FALSE,CEGL003605
37.207.07,Ceanothus oliganthus – Heteromeles arbutifolia – Rhus ovata,Association,CEGL003610,CEGL003610,FALSE,CEGL003610
37.207.08,Ceanothus oliganthus – Quercus berberidifolia,Association,CEGL003611,CEGL003611,FALSE,CEGL003611
37.208.01,Ceanothus crassifolius,Association,,CEGL003552,FALSE,CEGL003552
37.208.03,Ceanothus crassifolius – Adenostoma fasciculatum – Malosma laurina,Association,CEGL003517,CEGL003517,FALSE,CEGL003517
37.208.08,Ceanothus crassifolius – Malosma laurina,Association,CEGL003557,CEGL003557,FALSE,CEGL003557
37.209.01,Ceanothus cordulatus,Association,CEGL003023,CEGL003023,FALSE,CEGL003023
37.210.01,Ceanothus velutinus,Association,CEGL002167,CEGL002167,FALSE,CEGL002167
37.210.02,Ceanothus velutinus – Prunus emarginata – Artemisia tridentata,Association,CEGL003144,CEGL003144,FALSE,CEGL003144
37.211.01,Ceanothus cuneatus,Association,,CEGL003025,FALSE,CEGL003025
37.211.06,Ceanothus cuneatus – Adenostoma fasciculatum,Association,CEGL003468,CEGL003468,FALSE,CEGL003468
37.211.10,Ceanothus cuneatus – Adenostoma fasciculatum – Salvia mellifera – Malosma laurina,Association,CEGL003520,CEGL003520,FALSE,CEGL003520
37.212.01,"Ceanothus greggii (var. vestitus, var. perplexans)",Association,CEPP005938,CEPP005938,FALSE,CEPP005938
37.214.01,Ceanothus spinosus,Association,CEGL003612,CEGL003612,FALSE,CEGL003612
37.214.02,Ceanothus spinosus – Ceanothus megacarpus,Association,CEGL003614,CEGL003614,FALSE,CEGL003614
37.301.01,Arctostaphylos glauca,Association,CEGL003008,CEGL003008,FALSE,CEGL003008
37.302.01,Arctostaphylos glandulosa,Association,CEGL003007,CEGL003007,FALSE,CEGL003007
37.302.04,Arctostaphylos glandulosa – Quercus wislizeni,Association,CEGL003180,CEGL003180,FALSE,CEGL003180
37.303.01,Arctostaphylos patula,Association,CEGL005820,CEGL005820,FALSE,CEGL005820
37.304.01,Arctostaphylos myrtifolia,Association,,CEGL003009,FALSE,CEGL003009
37.305.01,Arctostaphylos viscida,Association,CEGL005817,CEGL005817,FALSE,CEGL005817
37.306.01,Arctostaphylos sensitiva – Vaccinium ovatum – Chrysolepis chrysophylla var. minor,Association,CEGL003181,CEGL003181,TRUE,CEGL003181
37.307.01,Arctostaphylos montana,Association,CEGL003179,CEGL003179,FALSE,CEGL003179
